chrUn_AAWZ02040322	chr17,37864,chr5,15600,chr13,12924
chrUn_AAWZ02039571	chr19,43640,chr9,7328,chr7,2318
chrUn_GL344537	chr2,166418
chrUn_AAWZ02036894	chr17,52749
chrUn_GL344607	chr16,55867
chrUn_AAWZ02036897	chr2,37805
chrUn_GL344606	chr11,118851
chrUn_AAWZ02039086	chr17,32213,chr11,6980
chrUn_GL344605	chr9,89523,chr1,4224
chrUn_AAWZ02037543	chr19,25078,chr10,3453,chr16,3032
chrUn_AAWZ02040533	chr20,42337
chrUn_GL344604	chr18,38659,chrX,2755
chrUn_AAWZ02037549	chr2,9454
chrUn_AAWZ02039499	chr5,8526
chrUn_AAWZ02033737	chr7,13353
chrUn_GL344128	chr11,156962,chr4,3673
chrUn_GL344129	chr19,341650,chr5,14389
chrUn_GL344536	chr12,25585,chr20,3805,chr2,2489
chrUn_GL344211	chr20,11239
chrUn_GL344122	chr13,9819
chrUn_GL344123	chr1,140423,chr22,15049
chrUn_GL344120	chrX,39136
chrUn_GL344121	chr1,22129
chrUn_GL344126	chr17,199300
chrUn_GL343932	chr17,161599
chrUn_GL344124	chr15,210802
chrUn_GL344125	chr6,83436,chr1,4274
chrUn_GL343933	chr19,128273,chr16,32354,chr15,6823
chrUn_GL343934	chr19,242030,chr9,8219,chr12,3085,chr8,2011
chrUn_GL343822	chr19,131015,chr9,9945,chr22,3945,chr16,2995,chr2,2523
chrUn_GL343823	chr4,147149
chrUn_GL343820	chr20,562923,chr15,76758,chr1,11050,chr19,2942
chrUn_GL343821	chr1,80747,chr21,17939,chr3,10023,chr2,9169,chr7,3026
chrUn_GL343826	chrX,387548,chr1,7989,chr6,6837
chrUn_GL343827	chr16,276180,chr7,163662,chr2,10440,chr8,2845
chrUn_GL343824	chr2,93190,chr8,2705
chrUn_GL343825	chrX,124987,chr13,7278
chrUn_AAWZ02036968	chr5,31672
chrUn_AAWZ02036969	chr2,34394
chrUn_GL343828	chr7,159881,chr6,16944
chrUn_GL343829	chr3,164486,chr12,129431,chr10,15065,chr5,14872,chr15,11361
chrUn_AAWZ02038857	chr4,29010
chrUn_AAWZ02038854	chr17,8648
chrUn_GL343938	chr1,182559,chr16,10394
chrUn_AAWZ02039179	chr2,30731,chr12,2877
chrUn_GL343939	chr7,234225
chrUn_AAWZ02039547	chr2,8985
chrUn_AAWZ02038071	chr3,42828,chr16,26130
chrUn_AAWZ02038615	chr12,28041
chrUn_GL344530	chr19,86776
chrUn_AAWZ02037779	chr9,21428
chrUn_GL343916	chr7,101982,chr8,24273,chr1,13655,chr16,2072
chrUn_GL343917	chr10,11501
chrUn_GL343914	chr16,286566
chrUn_GL343915	chr19,136045,chr5,5979,chr3,2310
chrUn_GL343912	chr1,23594,chr21,18530
chrUn_GL343913	chr12,309368
chrUn_GL343910	chr11,28545,chr2,10489
chrUn_GL343911	chr9,47436,chr18,10509
chrUn_GL344580	chr4,57174
chrUn_GL344581	chr22,41054
chrUn_GL344582	chr1,99481
chrUn_AAWZ02039546	chr1,22889
chrUn_GL344585	chrX,71857
chrUn_GL343918	chr3,344252,chr7,12642
chrUn_GL343919	chr2,64307,chr7,18619,chr8,8051,chr16,4835,chr19,2271
chrUn_GL344904	chr12,12845
chrUn_GL344906	chr9,57196
chrUn_GL344907	chr17,16803
chrUn_GL344900	chr8,11670
chrUn_AAWZ02037033	chr16,67577,chr2,7401,chr15,2288
chrUn_GL344902	chr16,43670
chrUn_GL344903	chr1,17185,chr4,7886
chrUn_AAWZ02039165	chr2,10759
chrUn_AAWZ02037157	chr9,38146
chrUn_GL344532	chr7,14517
chrUn_GL345059	chr17,69311
chrUn_AAWZ02040201	chr1,50661
chrUn_GL345053	chr17,87440
chrUn_GL345052	chr16,12647
chrUn_GL345055	chr13,11769
chrUn_GL345054	chr1,25109
chrUn_AAWZ02035941	chr20,6723
chrUn_GL344052	chr14,37464,chr19,2024
chrUn_GL344053	chr15,27415
chrUn_GL344050	chr9,41644,chr6,10740
chrUn_GL344051	chr7,229976
chrUn_GL344057	chr7,26740
chrUn_GL344055	chr17,248100,chr22,24388,chr2,3142
chrUn_GL344058	chr16,43940,chr13,7429
chrUn_GL344059	chr9,241172
chrUn_AAWZ02037760	chr2,8055
chrUn_AAWZ02040929	chr20,9825
chrUn_AAWZ02040922	chr1,7845
chrUn_AAWZ02040925	chr4,31639,chr1,9847
chrUn_AAWZ02039221	chr21,23840
chrUn_AAWZ02040441	chr1,11629
chrUn_AAWZ02039544	chr4,30012
chrUn_AAWZ02040446	chr15,12190
chrUn_AAWZ02037611	chr5,28806,chr11,12476
chrUn_AAWZ02037613	chr16,11971
chrUn_AAWZ02037612	chr1,44652
chrUn_AAWZ02039289	chr6,18511
chrUn_AAWZ02037616	chr19,103288
chrUn_AAWZ02037619	chr15,14230
chrUn_AAWZ02037618	chr5,116247
chrUn_GL343444	chr15,843184,chr3,33508
chrUn_GL343445	chr8,394955,chr2,136526,chr6,2186
chrUn_GL343446	chr16,1759402
chrUn_GL343447	chr4,519127
chrUn_GL343440	chr1,298011,chr9,9612
chrUn_GL343441	chr19,153492,chr17,26129,chr22,18780,chr15,7616
chrUn_GL343442	chr7,49146,chr10,27948,chr2,23248,chr6,19148,chr17,15203,chr11,11361,chr22,3945,chr14,3427,chr3,2012
chrUn_GL343443	chr8,792011
chrUn_GL343448	chr5,186763,chr9,26202,chr11,11632
chrUn_GL343449	chr3,106117,chr1,93006,chr4,22464,chr6,20343,chr7,6880,chr2,4243
chrUn_AAWZ02039541	chr6,20562
chrUn_AAWZ02040697	chr9,78342
chrUn_AAWZ02040696	chr19,12990
chrUn_AAWZ02040694	chr11,12767
chrUn_AAWZ02041976	chr2,20484
chrUn_AAWZ02039867	chr7,40213
chrUn_AAWZ02037411	chr17,68881
chrUn_AAWZ02039818	chr10,46929
chrUn_AAWZ02041503	chr9,22730
chrUn_AAWZ02039815	chr1,94433
chrUn_AAWZ02039814	chr19,119378,chr16,2950,chr22,2928
chrUn_AAWZ02039816	chr2,12137
chrUn_AAWZ02039811	chr3,10785
chrUn_AAWZ02039812	chr7,17361
chrUn_AAWZ02041642	chr16,34082
chrUn_GL345072	chrX,13399
chrUn_GL344973	chr9,33238,chr17,13084
chrUn_AAWZ02038502	chr11,24467
chrUn_GL343592	chr16,364708,chr7,30051,chr12,8156,chr2,3106
chrUn_GL343593	chr2,590914,chr8,8126
chrUn_GL343590	chr6,81097,chr5,9004
chrUn_GL343591	chr7,836125,chr17,8982
chrUn_GL343596	chr1,154129
chrUn_GL343597	chrX,56648,chr16,38211,chr22,2415
chrUn_GL343594	chr1,140233,chr22,10880
chrUn_GL343595	chrX,53557,chr5,31717,chr2,10981,chr6,9616,chr10,9416,chr8,6444
chrUn_GL343598	chr4,99999,chr6,8617
chrUn_GL343599	chrX,1636775
chrUn_AAWZ02040740	chr8,15803,chr1,2148
chrUn_AAWZ02040744	chr11,30655
chrUn_AAWZ02040747	chr19,9284
chrUn_AAWZ02040749	chr20,19601
chrUn_AAWZ02040748	chr11,19438
chrUn_AAWZ02038705	chr12,19698,chr21,2534
chrUn_GL344401	chr17,94178,chr16,72226
chrUn_AAWZ02039617	chr1,9145
chrUn_GL343628	chr21,708787,chr4,22354,chr9,7307
chrUn_GL343629	chr1,696292
chrUn_GL344400	chr19,105404,chr9,19504
chrUn_GL343624	chr8,917154,chrX,12494
chrUn_GL343625	chr9,574260,chr1,42648,chr12,17328,chr11,15382,chr2,9037
chrUn_GL343626	chr19,389122,chr3,15682,chrUn_gl000223,15431,chr8,7797,chr10,3897
chrUn_GL343627	chr14,602319,chr2,7307
chrUn_GL343620	chr3,322367,chr7,218223,chr16,3430,chr8,2261
chrUn_GL343621	chr16,291820,chr12,23467,chr7,15745,chr17,4978
chrUn_GL343622	chr4,73397
chrUn_GL343623	chr6,173523,chr5,12773,chrX,12317,chr1,9978
chrUn_GL344993	chr3,19303
chrUn_AAWZ02038285	chr4,14001,chr19,12948
chrUn_AAWZ02038284	chr12,92014
chrUn_AAWZ02038281	chr2,9191
chrUn_GL344776	chr9,39866
chrUn_GL344405	chr19,37714,chr5,3036
chrUn_AAWZ02038618	chr1,6938
chrUn_AAWZ02038289	chr11,6660
chrUn_GL344404	chr6,10894
chrUn_AAWZ02038447	chr1,37334
chrUn_GL344859	chr14,47349,chr19,11505
chrUn_GL344407	chr17,49651,chr3,8966
chrUn_AAWZ02036629	chr8,51337
chrUn_AAWZ02038442	chr16,40706
chrUn_GL344997	chr2,11562
chrUn_GL344406	chr7,14577
chrUn_AAWZ02038449	chr8,37661
chrUn_AAWZ02038448	chr14,30580
chrUn_GL344772	chr20,41609
chrUn_AAWZ02039502	chr7,33912,chr20,7501
chrUn_AAWZ02037295	chr16,46089
chrUn_AAWZ02039395	chr8,20497
chrUn_AAWZ02037428	chr9,16433
chrUn_AAWZ02040350	chr19,8627
chrUn_AAWZ02038776	chr6,14321
chrUn_GL344994	chr2,6859
chrUn_AAWZ02039398	chr1,19268
chrUn_AAWZ02039615	chr19,29536
chrUn_GL344676	chr9,7641
chrUn_AAWZ02036395	chr2,82225
chrUn_AAWZ02038712	chr2,16312
chrUn_AAWZ02036392	chr8,37909
chrUn_GL343805	chr1,522674
chrUn_AAWZ02038667	chr9,18529
chrUn_AAWZ02038666	chr19,19254
chrUn_GL344674	chr16,75466,chr3,20528
chrUn_AAWZ02039501	chr17,24472
chrUn_GL344675	chr21,59283,chr14,3843,chr19,2300
chrUn_GL344856	chr8,8524
chrUn_AAWZ02038770	chr1,28965
chrUn_AAWZ02039614	chr15,28296
chrUn_AAWZ02038065	chr1,28250
chrUn_GL344673	chr5,15878,chr20,2861,chr16,2428
chrUn_AAWZ02036713	chr4,40408
chrUn_AAWZ02039005	chr11,20933,chr4,4533
chrUn_GL344670	chr2,21018
chrUn_AAWZ02039000	chrX,8642
chrUn_AAWZ02037940	chr6,12716,chr2,12025
chrUn_AAWZ02040599	chr7,10488
chrUn_GL344671	chr20,41628
chrUn_AAWZ02039008	chr1,15365
chrUn_AAWZ02036089	chr1,130108,chr3,20585,chr8,3595
chrUn_AAWZ02041345	chr1,14599
chrUn_AAWZ02036080	chr15,14325,chr11,13020
chrUn_AAWZ02038541	chr19,69381
chrUn_AAWZ02040392	chr7,21734,chr10,5206
chrUn_AAWZ02038711	chr7,55881
chrUn_AAWZ02038710	chr9,17102
chrUn_AAWZ02041968	chr1,10558
chrUn_AAWZ02036810	chr20,37450
chrUn_AAWZ02039310	chr19,39501,chr6,2231
chrUn_AAWZ02039628	chr20,10590,chr16,9306
chrUn_AAWZ02039627	chr15,36384
chrUn_AAWZ02039623	chr1,15538
chrUn_AAWZ02036575	chr19,89558
chrUn_GL345098	chr7,16602
chrUn_AAWZ02036406	chr16,54016,chr2,10828
chrUn_AAWZ02039718	chr19,22281
chrUn_AAWZ02041359	chr9,37674,chr19,2135
chrUn_AAWZ02041358	chr1,18779,chr17,3008
chrUn_AAWZ02036400	chr2,70825
chrUn_AAWZ02037974	chr4,13620
chrUn_AAWZ02041354	chr3,11747
chrUn_AAWZ02037976	chr7,59050,chr10,4084
chrUn_AAWZ02041356	chr1,15878
chrUn_AAWZ02037970	chr17,6333
chrUn_AAWZ02037971	chr9,27255
chrUn_GL345096	chr9,80239
chrUn_AAWZ02037370	chr19,45190
chrUn_AAWZ02039250	chr15,66513,chr9,15118
chrUn_AAWZ02037376	chr11,52280
chrUn_AAWZ02037377	chr19,27862
chrUn_AAWZ02037579	chr14,50087
chrUn_AAWZ02041544	chr17,6446
chrUn_AAWZ02039531	chr12,9330
chrUn_AAWZ02036887	chr19,95903,chr18,6410,chr16,2676,chr6,2403
chrUn_GL344862	chr9,23577
chrUn_AAWZ02039538	chr2,16144
chrUn_AAWZ02039539	chr1,41389,chr6,4233,chr19,2713,chr15,2546,chr5,2169
chrUn_GL344139	chr10,115029
chrUn_GL344138	chr15,94608,chr5,20509
chrUn_AAWZ02040178	chr5,79266,chr4,4881
chrUn_GL344131	chr3,25101
chrUn_GL344133	chrX,37650,chr13,8561
chrUn_GL344132	chr16,89906,chr10,31457
chrUn_GL344135	chr1,66044
chrUn_GL344134	chr1,27627,chr6,25580
chrUn_GL344137	chr11,419197
chrUn_GL344136	chr2,185961
chrUn_AAWZ02039504	chr1,19342
chrUn_AAWZ02037420	chr19,102522
chrUn_AAWZ02040193	chr19,12714
chrUn_GL343831	chr2,121215,chr7,8980
chrUn_GL343830	chr19,89749,chr20,8559,chr10,5475
chrUn_GL343833	chr1,583541,chrX,22663,chr5,5203
chrUn_GL343832	chr11,410086,chr2,7160
chrUn_GL343835	chr15,392456
chrUn_GL343834	chr11,68151,chr7,37156,chr12,2592
chrUn_GL343837	chr22,310838,chr5,11412,chr1,10647,chr11,4224
chrUn_GL343836	chr15,396058
chrUn_GL343839	chrX,303489
chrUn_GL343838	chr20,128854
chrUn_AAWZ02038842	chr21,30145
chrUn_AAWZ02037112	chr1,91512
chrUn_AAWZ02038844	chr7,24239
chrUn_AAWZ02036979	chr1,27502
chrUn_AAWZ02036978	chr15,8878
chrUn_AAWZ02037421	chr7,28797,chr22,7013,chr16,6577,chrX,6484,chr3,3524
chrUn_AAWZ02037269	chr17,46240
chrUn_AAWZ02039224	chr17,31982
chrUn_AAWZ02040003	chr11,39287
chrUn_AAWZ02041598	chr19,18152
chrUn_GL344971	chr16,99510
chrUn_AAWZ02040008	chr2,21155
chrUn_AAWZ02040633	chr4,13134
chrUn_GL343905	chr3,142715,chr12,39361,chr19,11422,chr22,3454,chrX,3053
chrUn_GL344224	chr16,15791,chr17,7797
chrUn_GL344227	chr8,33145
chrUn_GL344226	chr20,6435
chrUn_GL344221	chr11,123923,chr16,18341
chrUn_GL343900	chr11,255462
chrUn_GL344591	chr11,24779,chr20,14028
chrUn_GL343902	chr10,148815
chrUn_AAWZ02037286	chr2,21177
chrUn_AAWZ02037287	chr9,7492
chrUn_AAWZ02037285	chr11,72994
chrUn_GL344229	chrX,195371,chr8,2505
chrUn_GL343908	chr1,7221
chrUn_GL344391	chr19,14954
chrUn_GL344598	chr11,12757,chr2,8882
chrUn_AAWZ02037026	chr7,34700
chrUn_AAWZ02037755	chr17,59460,chr1,21675
chrUn_AAWZ02037024	chr13,18652
chrUn_GL344912	chr9,12322
chrUn_AAWZ02035537	chr2,143987,chr9,5568,chr1,4951
chrUn_AAWZ02037262	chr1,7049
chrUn_AAWZ02035531	chr14,39460
chrUn_AAWZ02036893	chr15,7809
chrUn_GL344390	chr6,50543,chr16,30804,chr5,14947,chr19,7625
chrUn_AAWZ02035538	chr7,23671,chr4,20565
chrLGh	chr1,412822
chrUn_GL345065	chr2,40652
chrUn_GL345066	chr1,51565
chrUn_GL345060	chr12,30157
chrUn_GL345062	chr1,48976
chrUn_GL345063	chr1,26155,chr19,5540,chr3,3015
chrLGa	chr11,2517258,chr2,338301,chr19,30833,chr13,26227,chr1,2185
chrLGb	chr12,5430223,chr22,18513,chr16,5535
chrLGc	chr16,9979698,chr19,225064,chr5,86228,chr14,47871,chr12,24941,chr22,20593,chr18,19235,chr17,13599,chr13,13171,chr15,12256,chr4,9028,chr2,8519,chr8,8058
chrLGd	chr16,876783,chr18,30077,chr11,11240,chr5,4949,chr4,2677
chrUn_GL344861	chr11,27471
chrLGf	chr19,2870565,chr11,165554,chr14,82907,chr2,49302,chr7,43777,chr22,29859,chr1,29737,chr17,28628,chr20,24891,chr12,20974,chr5,18780,chr6,14082,chr21,11769,chr3,5656
chrLGg	chr9,271533,chr22,13349,chr4,12991,chr1,4166
chrUn_GL344041	chr19,14620,chr20,9251
chrUn_GL344040	chr13,262252,chr2,3639
chrUn_GL344042	chr7,116777,chr17,51384,chr22,14855,chr13,14308,chr20,11383,chr2,5249
chrUn_GL344045	chr11,200082
chrUn_GL344044	chr15,11438
chrUn_GL344047	chr1,285786,chr6,37059
chrUn_GL344046	chr17,204358,chr7,23978,chr12,5865
chrUn_GL344049	chr1,61262,chr10,22067,chr6,4268,chr15,2451
chrUn_GL344048	chr17,52950
chrUn_GL344825	chr18,57334
chrUn_GL344824	chr19,63608,chr1,10963,chr10,5131
chrUn_GL344822	chr2,46437
chrUn_GL344820	chr17,58344,chr4_gl000194_random,6055
chrUn_AAWZ02041427	chr19,28944
chrUn_AAWZ02035997	chr15,203932
chrUn_AAWZ02041422	chr2,25351
chrUn_GL345088	chr15,41114
chrUn_AAWZ02035993	chr16,102658,chr1,2157
chrUn_GL345086	chr8,12566
chrUn_GL345087	chr18,15752
chrUn_GL344521	chr20,20949
chrUn_AAWZ02040910	chr7,10871
chrUn_AAWZ02040913	chr7,13020
chrUn_GL345006	chr7,18389,chr16,5213,chr19,3155
chrUn_AAWZ02037638	chr19,20364
chrUn_AAWZ02037622	chr4,22349,chr22,21738,chr2,20263
chrUn_AAWZ02037623	chr14,26334
chrUn_AAWZ02040390	chr15,45109,chr5,13473,chrX,9002,chr19,7144,chr6,4018,chr16,3534
chrUn_GL343453	chr12,821770
chrUn_GL343215	chr10,2623687,chr3,21738,chr4,14032,chrX,10227
chrUn_GL343451	chrX,1381176
chrUn_GL343450	chr9,400103
chrUn_GL343457	chr17,790661,chr19,7770
chrUn_GL343456	chr2,1138760
chrUn_GL343455	chr2,470635,chrX,6188
chrUn_GL343214	chr2,4919004
chrUn_AAWZ02039829	chr17,26378
chrUn_GL343459	chr14,837523,chr20,14257,chr10,4467
chrUn_GL343458	chr4,259532,chrM,24767,chr15,23467,chrX,18923,chr9,3209
chrUn_GL343217	chr20,1183147
chrUn_GL343960	chr2,26135
chrUn_AAWZ02040396	chr6,14232,chr14,13968
chrUn_GL343967	chr10,52758
chrUn_AAWZ02039516	chr12,15064
chrUn_GL343966	chr9,239785
chrUn_AAWZ02039555	chr10,11423
chrUn_AAWZ02041884	chr19,37848
chrUn_GL343965	chr6,20378
chrUn_GL343964	chr6,73450,chr16,57367,chr20,35087,chr19,14773,chr21,4542
chrUn_AAWZ02039083	chr19,39287
chrUn_AAWZ02039490	chr20,12262
chrUn_AAWZ02041512	chr17,9252
chrUn_GL344249	chr11,55893,chr5,8724
chrUn_AAWZ02039556	chr20,12361,chr22,7911
chrUn_GL344248	chr11,30842
chrUn_AAWZ02041633	chr6,17415
chrUn_AAWZ02035066	chr9,164713
chrUn_GL344539	chr22,46211
chrUn_GL344538	chr7,19267,chr17,13289
chrUn_AAWZ02039834	chr11,21307
chrUn_AAWZ02039497	chr2,23896,chr19,2059
chrUn_AAWZ02039496	chr2,16856
chrUn_AAWZ02039557	chr18,14100
chrUn_GL343581	chr8,414616
chrUn_GL343580	chr16,788059,chr19,10824
chrUn_GL343583	chr7,264461,chr17,90285,chr1,53049,chr18,18096,chr10,11719,chr22,9940,chrX,9316,chr5,4444
chrUn_GL343582	chrX,60976,chrM,10739,chr5,10029,chr9,2622
chrUn_GL343585	chr9,86724,chr1,82862,chr4,20653
chrUn_GL343584	chr13,145156,chr15,14526,chr11,5043,chrX,4266
chrUn_GL343587	chr11,51374,chr14,8242
chrUn_GL343586	chr18,117545
chrUn_GL343589	chr1,48307,chr2,13511
chrUn_GL343588	chr16,109812,chr12,36901,chr13,24128,chr3,3028
chrUn_GL344454	chr7,203427,chr2,4863
chrUn_AAWZ02040774	chr16,8687
chrUn_AAWZ02040777	chr7,30892
chrUn_AAWZ02035266	chr18,39654
chrUn_AAWZ02040771	chr19,7998
chrUn_AAWZ02040772	chr19,7795
chrUn_AAWZ02040773	chr16,21672
chrUn_AAWZ02040778	chr2,16326
chrUn_AAWZ02041188	chr14,29575,chr15,5745
chrUn_AAWZ02041189	chr19,89777,chr9,2017
chrUn_AAWZ02041880	chr19,16241
chrUn_AAWZ02041180	chr18,10628
chrUn_AAWZ02041181	chr2,40959
chrUn_AAWZ02041182	chr17,9876
chrUn_AAWZ02041183	chr9,37851
chrUn_AAWZ02041184	chr17,29969
chrUn_GL343639	chr2,67657,chr20,56960
chrUn_GL343638	chr17,191280,chr9,14097
chrUn_AAWZ02038388	chr9,9737
chrUn_GL343633	chr11,144826,chr22,20967,chr5,2640
chrUn_GL343632	chr2,194962,chr10,9996
chrUn_GL343631	chr8,356670,chr17,31219,chr20,8785
chrUn_GL343630	chr17,503372
chrUn_GL343637	chr1,613744,chr19,38937
chrUn_GL343636	chr8,530008
chrUn_GL343635	chr19,346029,chr15,41679,chr11,33627,chr16,21596,chr2,6557
chrUn_GL343634	chr1,115373
chrUn_AAWZ02039732	chr9,20363
chrUn_GL344853	chr1,19006
chrUn_AAWZ02038275	chr19,45837
chrUn_AAWZ02038479	chr6,19985
chrUn_AAWZ02039513	chr10,22152
chrUn_AAWZ02041749	chr19,9272
chrUn_AAWZ02035735	chr3,8044
chrUn_AAWZ02041743	chr15,19946
chrUn_AAWZ02038473	chr15,17517
chrUn_AAWZ02041784	chr1,8675
chrUn_AAWZ02038477	chr14,67726
chrUn_AAWZ02040345	chr17,52143
chrUn_GL344830	chr5,33645
chrUn_AAWZ02040347	chr3,27953
chrUn_AAWZ02039381	chr15,7224
chrUn_AAWZ02039383	chr6,18177
chrUn_AAWZ02040342	chr2,10677
chrUn_AAWZ02040349	chr17,25715
chrUn_GL344832	chr17,60178
chrUn_AAWZ02038492	chr21,16250
chrUn_AAWZ02038493	chr19,13090
chrUn_GL344833	chr19,37586,chr1,7624
chrUn_AAWZ02038494	chr11,27709,chr10,4673,chr1,2741,chr8,2287
chrUn_GL344834	chr19,9802
chrUn_GL343771	chr19,183818,chrX,14772,chr16,10105,chr6,5564,chr10,3605
chrUn_GL344836	chr1,123019
chrUn_AAWZ02036617	chr10,18967
chrUn_AAWZ02038016	chr6,12014
chrUn_AAWZ02038017	chr8,14970
chrUn_AAWZ02038015	chr11,33287
chrUn_AAWZ02038010	chr4,29078
chrUn_AAWZ02040587	chr19,36406
chrUn_AAWZ02039126	chr17,28610
chrUn_AAWZ02039011	chr11,9304
chrUn_AAWZ02041299	chr22,15493
chrUn_AAWZ02039013	chr3,13545
chrUn_AAWZ02038853	chr2,36290
chrUn_AAWZ02041295	chr14,20839
chrUn_AAWZ02041297	chr14,83376,chr19,2178
chrUn_AAWZ02039019	chr1,14010
chrUn_AAWZ02039602	chr12,18176
chrUn_AAWZ02041292	chr17,20404,chr10,13145
chrUn_AAWZ02040588	chr4,8114
chrUn_AAWZ02037569	chr9,60763
chrUn_AAWZ02036823	chr7,12580
chrUn_AAWZ02038725	chr1,77598
chrUn_AAWZ02038726	chr2,52796,chr5,9152,chrX,5189
chrUn_AAWZ02038721	chr14,8778
chrUn_AAWZ02039644	chr16,23282
chrUn_AAWZ02039634	chr9,15677,chr11,13147
chrUn_AAWZ02038728	chr19,23727
chrUn_AAWZ02038729	chr14,35377
chrUn_AAWZ02036500	chr2,113428
chrUn_AAWZ02038650	chr3,15424
chrUn_AAWZ02038123	chr20,39320,chr7,3714,chr16,3468,chr2,2804
chrUn_AAWZ02038120	chr16,11109
chrUn_AAWZ02038653	chr1,22593
chrUn_AAWZ02038656	chr19,42214,chr2,9566,chr17,5100,chr1,3893
chrUn_AAWZ02038657	chr20,16596
chrUn_AAWZ02038658	chr13,37084
chrUn_AAWZ02038659	chr16,54076
chrUn_AAWZ02041168	chr9,14705
chrUn_AAWZ02038129	chr20,46753
chrUn_AAWZ02039705	chr19,11066
chrUn_AAWZ02039704	chr3,20018
chrUn_AAWZ02038181	chr19,7488
chrUn_AAWZ02037962	chr11,33310
chrUn_AAWZ02037961	chr16,12597
chrUn_AAWZ02041364	chr15,9937
chrUn_AAWZ02037965	chr19,67697
chrUn_AAWZ02041367	chr3,11857,chr22,9171,chrX,2129
chrUn_AAWZ02039604	chr15,17450
chrUn_AAWZ02037969	chr1,27196
chrUn_GL343247	chr6,934468,chr18,253291,chr16,95132,chr1,31334,chr2,14232,chr20,9146,chr9,4496,chr17,2183,chr12,2003
chrUn_AAWZ02037368	chr12,15160
chrUn_AAWZ02037363	chr2,57104,chr1,5083,chrX,4938,chr7,2509
chrUn_AAWZ02037362	chr1,55798
chrUn_AAWZ02037365	chr19,63371,chr15,11661
chrUn_AAWZ02037364	chr13,20508
chrUn_GL344694	chr7,65479
chrUn_GL344696	chr8,9078
chrUn_GL344697	chr9,25285
chrUn_GL344690	chr1,76572
chrUn_GL344691	chr7,81085
chrUn_GL344692	chr16,31355
chrUn_GL344693	chr19,35125
chrUn_AAWZ02039528	chr8,19888
chrUn_AAWZ02036218	chr9,109588
chrUn_GL344252	chr1,26106
chrUn_AAWZ02037560	chr8,9329
chrUn_GL344456	chr2,17235
chrUn_GL343337	chr11,1426104,chr20,15854
chrUn_GL344106	chr17,127997,chr7,14953
chrUn_GL343335	chr5,776178,chr18,655908,chr8,27393,chrX,20440,chr11,11268,chr19,4077
chrUn_GL344452	chr15,45634,chr6,38930,chr7,15613,chr19,12389,chr12,8299,chr8,2567
chrUn_GL344453	chr19,28680
chrUn_GL343330	chr15,1243389,chr19,474695,chr1,13943,chr11,12163,chr5,9735
chrUn_GL344451	chr5,70010
chrUn_AAWZ02040164	chr10,40388
chrUn_AAWZ02040166	chr18,15390
chrUn_GL344108	chr17,289320
chrUn_GL344109	chr3,99233
chrUn_GL343338	chr12,3719343,chr22,74273,chr1,6722
chrUn_GL343339	chr2,926263,chr8,379695,chr11,61933,chr15,34552,chr13,11190,chr10,10589,chr1,8107,chrY,5169,chr5,4177,chr4,3873,chr19,3067,chr17,2249
chrUn_AAWZ02039647	chr7,15314
chrUn_AAWZ02041657	chr19,10542
chrUn_AAWZ02036988	chr11,29594
chrUn_AAWZ02037108	chr19,69861
chrUn_AAWZ02037456	chr19,30589
chrUn_AAWZ02037107	chrX,40144,chr13,11367
chrUn_AAWZ02037106	chr9,22138
chrUn_AAWZ02036986	chr2,34493
