chrUn_AAWZ02040322	chr15,40212,chr19,2973
chrUn_GL343623	chr4,41095,chrUn_random,40057,chr16,22713,chr17,13110,chr7,11411
chrUn_GL344993	chr1,39462
chrUn_AAWZ02038285	chr28,22137
chrUn_AAWZ02038284	chr1,92221
chrUn_GL344405	chr28,49698
chrUn_AAWZ02038288	chrZ,21508
chrUn_AAWZ02038445	chr18,28593
chrUn_GL344859	chr5,44419,chr3,4482
chrUn_GL344407	chr19,53627,chr9,9655
chrUn_AAWZ02036629	chr11,35786
chrUn_AAWZ02038442	chr14,45790
chrUn_AAWZ02038449	chr22,46971
chrUn_AAWZ02038448	chr8,15932
chrUn_AAWZ02039502	chr5,34384,chr2,2166
chrUn_AAWZ02037295	chr14,62999
chrUn_AAWZ02039395	chr3,13243
chrUn_AAWZ02037428	chr17,18698
chrUn_AAWZ02038776	chr3,20708
chrUn_GL344994	chr7,47067
chrUn_AAWZ02039398	chr23,26577
chrUn_AAWZ02039615	chr28,32209
chrUn_GL344676	chr17,30670
chrUn_AAWZ02036395	chr7,121068
chrUn_AAWZ02038712	chr7,24150
chrUn_AAWZ02036392	chr20,29584
chrUn_GL343805	chr25,369284,chrZ,56499,chr28,4296
chrUn_AAWZ02038667	chr17,23759
chrUn_GL344674	chr11,38614,chr2,18724,chrUn_random,3201
chrUn_AAWZ02039501	chr19,32142
chrUn_GL344675	chr22,33039
chrUn_AAWZ02039318	chr10,7869
chrUn_GL344672	chr4,8565
chrUn_AAWZ02038770	chr17,8065
chrUn_AAWZ02038067	chr4,21911
chrUn_AAWZ02039614	chr10,7581
chrUn_AAWZ02038065	chr21,37885
chrUn_GL344673	chr11,9165
chrUn_AAWZ02036713	chr4,60302
chrUn_AAWZ02039005	chr1,26959
chrUn_GL344670	chr7,52535
chrUn_AAWZ02036714	chr5,24081
chrUn_AAWZ02040599	chr3,11994
chrUn_GL344671	chr20,44610,chr11,5493
chrUn_AAWZ02039008	chr8,21794
chrUn_AAWZ02036089	chr21,157628
chrUn_AAWZ02041345	chr21,28081
chrUn_AAWZ02041342	chr8,13977
chrUn_AAWZ02039613	chr3,6605
chrUn_AAWZ02039464	chr17,7369
chrUn_AAWZ02038541	chr28,68356,chr10,5682
chrUn_AAWZ02040392	chr2,28249
chrUn_AAWZ02038711	chr14,62025,chr1,3580
chrUn_AAWZ02038710	chr17,16436
chrUn_AAWZ02036810	chr3,60790
chrUn_AAWZ02039310	chr5,28600
chrUn_AAWZ02039627	chr10,36455
chrUn_AAWZ02039624	chr8,8835
chrUn_AAWZ02039623	chr8,21168
chrUn_AAWZ02036575	chr28,54560,chr8,18756,chr10,12406
chrUn_GL345098	chr2,30477
chrUn_AAWZ02036406	chr14,67624
chrUn_AAWZ02039719	chr7,8966
chrUn_AAWZ02041359	chr10,32333
chrUn_AAWZ02041358	chr21,17346
chrUn_AAWZ02036400	chr7,97904
chrUn_AAWZ02037974	chr4,37939
chrUn_AAWZ02041354	chr12,25992
chrUn_AAWZ02037976	chr2,51116,chr20,8055,chr4,7710,chrW_random,4493,chr1,3334
chrUn_AAWZ02037971	chr17,38271
chrUn_AAWZ02039715	chr5,11508
chrUn_AAWZ02037378	chr13,18913
chrUn_GL345096	chr17,72239
chrUn_AAWZ02041429	chr6,19542
chrUn_AAWZ02039611	chr4,26330
chrUn_AAWZ02039250	chr10,76850
chrUn_AAWZ02037376	chr3,25840,chr13,6834
chrUn_AAWZ02037377	chr28,28455
chrUn_AAWZ02036883	chr1,42884
chrUn_AAWZ02037579	chr5,83927
chrUn_AAWZ02039531	chr1,9982
chrUn_AAWZ02036887	chrUn_random,71668,chrE22C19W28_E50C23_random,3291,chr18,2530
chrUn_GL344527	chr3,28498
chrUn_AAWZ02039538	chr7,27269
chrUn_AAWZ02039539	chr8,42997
chrUn_GL344139	chr1,140066
chrUn_GL344138	chr10,158868,chr13,20444
chrUn_AAWZ02040178	chrUn_random,53051,chr4,7436,chr13,2925
chrUn_GL344131	chr1,30551
chrUn_GL344133	chr4,61854
chrUn_GL344132	chr14,149201
chrUn_GL344135	chr21,73294
chrUn_GL344134	chr16_random,48506,chr16,5002
chrUn_GL344137	chr5,69064
chrUn_GL344136	chr1,332493
chrUn_AAWZ02039504	chr8,44559
chrUn_GL344524	chr17,64945,chr8,2886
chrUn_AAWZ02037420	chrZ,70613
chrUn_AAWZ02040193	chrZ,9700
chrUn_AAWZ02039481	chr2,11752
chrUn_GL343831	chrUn_random,151707,chr2,10916,chr13,10227,chr1,7577
chrUn_GL343830	chr6,100047,chr16,20252,chr4,10093,chr1,4146,chr8,3995,chr3,3189,chr14,2278
chrUn_GL343833	chr21,677518,chrUn_random,22892,chr8_random,2359
chrUn_GL343832	chr5,157616,chr3,17507,chrUn_random,10399
chrUn_GL343835	chr10,363612
chrUn_GL343834	chr1,53539,chr2,39907
chrUn_GL343837	chr1,58945,chr5,51461,chrUn_random,4136
chrUn_GL343836	chr10,600298
chrUn_GL343839	chr4,413899
chrUn_GL343838	chrUn_random,143078,chr1,9069
chrUn_AAWZ02038843	chr2,9889
chrUn_AAWZ02038842	chr1,21080,chr24,3277
chrUn_AAWZ02037112	chr25,71594,chr10,14369
chrUn_AAWZ02038844	chr1,26967
chrUn_AAWZ02036979	chr21,32284
chrUn_AAWZ02036978	chr10,20338
chrUn_AAWZ02037421	chr11,95141,chrUn_random,2052
chrUn_AAWZ02039224	chr19,39897,chr15,3996
chrUn_AAWZ02040003	chr3,22443
chrUn_AAWZ02039469	chr20,12138
chrUn_GL344971	chr11,100851
chrUn_AAWZ02040008	chr7,20554
chrUn_AAWZ02040633	chr4,16726
chrUn_GL344225	chr11,37593
chrUn_GL343904	chrUn_random,118769,chr23,80894,chr20,39301,chr1,11801,chr2,3605
chrUn_GL344227	chr3,42246
chrUn_GL343906	chr4,129235
chrUn_GL343901	chr2,45012
chrUn_GL343900	chr1,249502,chr4,28146,chrUn_random,23244,chr3,10031
chrUn_GL344591	chr1,48483
chrUn_GL343902	chr6,181477
chrUn_AAWZ02037287	chr3,11708
chrUn_AAWZ02037285	chr24,74888
chrUn_GL344229	chr4,239219
chrUn_GL343908	chr21,8123
chrUn_GL344391	chr28,19344,chrUn_random,17352
chrUn_GL344598	chr3,24878,chr5,16243
chrUn_AAWZ02037026	chr19,55265
chrUn_AAWZ02037755	chr19,51679,chrE22C19W28_E50C23,18111
chrUn_AAWZ02037024	chr1,35894
chrUn_GL344912	chr17,26229
chrUn_AAWZ02037029	chr17,7164
chrUn_GL344915	chr11,15323
chrUn_AAWZ02035537	chrUn_random,127589
chrUn_AAWZ02037262	chr23,8312
chrUn_AAWZ02035531	chr5,109791
chrUn_AAWZ02036893	chrUn_random,28057,chr26,14102,chr10,6479,chr3,5595
chrUn_AAWZ02035538	chr1,29253,chr4,20325
chrLGh	chr21,566753
chrUn_GL345065	chr7,22714
chrUn_GL345066	chr21,53670
chrUn_GL345067	chr8,13512
chrUn_GL345060	chr15,37150
chrUn_GL345061	chr20,22259
chrUn_GL345062	chrUn_random,31460
chrUn_GL345063	chr25,20402,chrUn_random,19491
chrLGa	chr24,5083602,chr22,853206
chrLGb	chr15,8606308
chrLGc	chr11,12651696,chrUn_random,7475
chrLGd	chr11,2199847
chrUn_GL344520	chrUn_random,7992
chrLGf	chr5,756512,chr3,635912,chr6,413355,chrUn_random,157099,chr24,149764,chr14,82166,chr1,76057,chr2,46382,chr27,43162,chrZ,29831,chr18,25867,chr8,24579,chr20,24038,chr26,23905,chr7,15478,chr15,12016,chr12,6301,chr4,4172,chr9,2202
chrLGg	chr17,548770,chr7,12720
chrUn_GL344041	chrZ,25943
chrUn_GL344040	chr1,362568
chrUn_GL344042	chr19,165348,chr15,41214,chr1,11077,chr9,4525
chrUn_GL344045	chr3,28605,chr25,16249
chrUn_GL344044	chr10,86297
chrUn_GL344047	chr23,386600
chrUn_GL344046	chr19,267507
chrUn_GL344049	chr10,22011,chr25,13419,chrUn_random,9528,chr28,3187
chrUn_GL344048	chr19,74388
chrUn_GL344825	chrZ,80609,chr1,7028
chrUn_GL344824	chr28,51779
chrUn_GL344822	chr3,80915
chrUn_GL344820	chr19,34511,chr15,9175
chrUn_AAWZ02041427	chr10,35737,chr28,4696
chrUn_AAWZ02041425	chr5,25747
chrUn_AAWZ02035997	chr10,232751
chrUn_AAWZ02041422	chr3,35957
chrUn_GL345088	chr10,44638
chrUn_AAWZ02035993	chr14,150549,chr4,7450
chrUn_AAWZ02040914	chr1,11946
chrUn_GL345087	chrZ,21709,chr6,2624
chrUn_GL344521	chr20,19391
chrUn_AAWZ02040910	chr10,14928
chrUn_AAWZ02040417	chr21,30843
chrUn_AAWZ02040912	chr6,16996
chrUn_GL345081	chr3,17701
chrUn_AAWZ02040276	chr4,14663
chrUn_GL345006	chr14,59405
chrUn_AAWZ02040607	chr17,10211
chrUn_AAWZ02039553	chr4,35483
chrUn_AAWZ02039085	chr1,16084
chrUn_AAWZ02037638	chrZ,15952
chrUn_AAWZ02037620	chr14,21479
chrUn_AAWZ02037622	chr15,33507
chrUn_AAWZ02040390	chr16,43547
chrUn_GL343453	chr1,1353688
chrUn_GL343215	chr6,3643898,chr4,5683
chrUn_GL343451	chr4,1838073
chrUn_GL343450	chr17,1342402
chrUn_GL343457	chr19,1242183
chrUn_GL343456	chr1,2010877
chrUn_GL343455	chr7,784248
chrUn_GL343214	chr7,6672065
chrUn_AAWZ02039829	chr19,20617
chrUn_GL343459	chr5,1031319,chr16,3351
chrUn_GL343458	chr4,645522,chrM,24958,chr10,24567
chrUn_GL343217	chr20,4077814
chrUn_AAWZ02038967	chr3,15053
chrUn_GL343960	chr22,134826
chrUn_AAWZ02040396	chr5,16273
chrUn_GL343967	chr6,56892
chrUn_GL344246	chr3,11830
chrUn_AAWZ02039555	chr6,20625
chrUn_AAWZ02041884	chrZ,26960
chrUn_GL343965	chr16,42918
chrUn_GL343964	chrUn_random,32132,chr11,28536,chr20,17627,chr3,8920
chrUn_AAWZ02039083	chr11,64769
chrUn_GL344249	chr1,112858,chr4,2836,chrUn_random,2288
chrUn_AAWZ02039556	chr20,16411
chrUn_AAWZ02039229	chr19,15493
chrUn_AAWZ02041632	chrUn_random,18176
chrUn_AAWZ02041633	chrUn_random,16050
chrUn_AAWZ02035066	chr17,213952
chrUn_GL344539	chr15,43782
chrUn_GL344538	chr27,20820
chrUn_AAWZ02039497	chr3,24378
chrUn_AAWZ02039496	chr22,18777
chrUn_AAWZ02039557	chrZ,17049
chrUn_GL343581	chr2,649248,chr1,13164
chrUn_GL343580	chr14,1109075
chrUn_GL343583	chr19,480005,chr3,52827,chrUn_random,8047
chrUn_GL343582	chr4,146358,chrUn_random,10093
chrUn_GL343585	chrZ,215754,chr4,19034,chr1,16187
chrUn_GL343584	chr1,250522,chr2,12773
chrUn_GL343587	chr1,73321
chrUn_GL343586	chrZ,1001961
chrUn_GL343589	chr23,147316
chrUn_GL343588	chr14,163586,chr15,38443
chrUn_GL344454	chr7,108729,chr2,38535,chr13,4638
chrUn_AAWZ02040774	chr14,26313
chrUn_AAWZ02040480	chr14,9012
chrUn_AAWZ02040777	chr2,23164
chrUn_AAWZ02035266	chr2,87020
chrUn_AAWZ02040771	chr28,13267
chrUn_AAWZ02040772	chr28,22202
chrUn_AAWZ02040778	chr3,17178
chrUn_AAWZ02040779	chr2,13211,chrUn_random,6705
chrUn_AAWZ02041188	chrUn_random,18903
chrUn_AAWZ02041189	chr28,67452,chr9,8162,chr24,2669
chrUn_AAWZ02041880	chrZ,10078
chrUn_AAWZ02041181	chrUn_random,13340
chrUn_AAWZ02041183	chr17,65111
chrUn_AAWZ02041184	chr15,20246
chrUn_GL343639	chr4,311640,chr1,12423
chrUn_GL343638	chr19,184000
chrUn_AAWZ02038388	chrZ,20595
chrUn_GL343633	chr4,23003,chr13,11067
chrUn_GL343632	chr4,461334,chrUn_random,7906
chrUn_GL343631	chr2,823940
chrUn_GL343630	chr18,444859
chrUn_GL343637	chr25,448638,chrUn_random,57087,chr17,18747,chr28,13349,chr27,4155
chrUn_GL343636	chrUn_random,91441,chr9,9814,chr1,8297
chrUn_GL343635	chrUn_random,222859,chr3,92422,chr5,60931
chrUn_GL343634	chr8,115586,chrZ,8346
chrUn_GL344853	chr21,23130
chrUn_AAWZ02038271	chr24,8748
chrUn_AAWZ02038275	chr28,40302
chrUn_AAWZ02038479	chrUn_random,21147,chr3,3206
chrUn_AAWZ02041749	chrE22C19W28_E50C23_random,8061
chrUn_AAWZ02035735	chr12,8530
chrUn_AAWZ02041743	chr10,26994
chrUn_AAWZ02038473	chr10,15879
chrUn_AAWZ02041784	chr25,16736
chrUn_AAWZ02041744	chr2,7436
chrUn_AAWZ02038477	chr5,70378
chrUn_AAWZ02040345	chr19,52842
chrUn_GL344830	chr2,83747
chrUn_AAWZ02039387	chr28,10703
chrUn_AAWZ02038437	chr10,8643
chrUn_AAWZ02039381	chr6,8825,chr10,8489
chrUn_AAWZ02039383	chr3,41126
chrUn_AAWZ02040342	chr3,15023
chrUn_AAWZ02040349	chr27,25751,chr1,12958
chrUn_AAWZ02038858	chr2,67726
chrUn_AAWZ02038492	chr1,15256
chrUn_AAWZ02038493	chr6,16913
chrUn_GL344833	chr28,34568
chrUn_AAWZ02038494	chr5,19943
chrUn_GL344834	chr8,9136
chrUn_GL343771	chrUn_random,92405,chr16,3660
chrUn_GL344835	chr3,19636
chrUn_GL344836	chr21,125901
chrUn_AAWZ02036617	chr21,44622
chrUn_AAWZ02038016	chr2,44623
chrUn_AAWZ02038017	chr22,27284
chrUn_GL344837	chr2,26611
chrUn_AAWZ02038010	chr4,34614
chrUn_AAWZ02040587	chr5,27900
chrUn_AAWZ02037163	chr4,19803
chrUn_AAWZ02039126	chr9,23985
chrUn_AAWZ02039011	chr1,9592
chrUn_AAWZ02041299	chr15,9709
chrUn_AAWZ02039013	chr9,15518
chrUn_AAWZ02038853	chr7,39284
chrUn_AAWZ02041295	chrUn_random,7337
chrUn_AAWZ02041297	chr2,35654
chrUn_AAWZ02039019	chr21,18166
chrUn_AAWZ02039602	chr1,19402
chrUn_AAWZ02041292	chr6,19427,chrUn_random,12431
chrUn_AAWZ02037569	chr17,83595
chrUn_AAWZ02039177	chr14,9945
chrUn_AAWZ02038725	chr25,64386,chrZ,23925,chrW,2048
chrUn_AAWZ02038726	chrUn_random,63253,chrZ,5803,chrW_random,2920,chr4,2512
chrUn_AAWZ02038727	chrZ,10235
chrUn_AAWZ02038721	chr5,10679
chrUn_AAWZ02039644	chr14,28164
chrUn_AAWZ02039634	chr17,25156
chrUn_AAWZ02039636	chr7,15314
chrUn_AAWZ02038728	chr28,12170
chrUn_AAWZ02038729	chr5,37507
chrUn_AAWZ02036500	chr3,95929
chrUn_AAWZ02038650	chr9,21096
chrUn_AAWZ02038123	chr20,14726,chr14,6295
chrUn_AAWZ02041160	chr2,10954
chrUn_AAWZ02038653	chr21,23371
chrUn_AAWZ02038656	chr28,40939
chrUn_AAWZ02038657	chr20,19684
chrUn_AAWZ02038658	chr1,35286
chrUn_AAWZ02038659	chr14,66882
chrUn_AAWZ02038128	chr4,33425
chrUn_AAWZ02038129	chr20,51293
chrUn_AAWZ02037451	chr12,11938
chrUn_AAWZ02037962	chr1,30202
chrUn_AAWZ02037961	chr14,24261
chrUn_AAWZ02038910	chrZ,13324
chrUn_AAWZ02041364	chr10,8729
chrUn_AAWZ02037965	chr18,51679,chrUn_random,3116
chrUn_AAWZ02041367	chr14,11878,chr2,2304
chrUn_AAWZ02039604	chr10,21753
chrUn_AAWZ02037969	chr21,37767
chrUn_AAWZ02037968	chr7,9048
chrUn_GL343247	chr2,2309172,chr23,32752,chr25,8489,chrUn_random,6953
chrUn_AAWZ02037369	chr1,6793
chrUn_AAWZ02037363	chrUn_random,67559
chrUn_AAWZ02037362	chr21,53426
chrUn_AAWZ02037365	chr18,36132,chrUn_random,9503
chrUn_AAWZ02037364	chr1,20031,chr4,15398
chrUn_GL344694	chr19,80002,chr15,4574
chrUn_GL344695	chr1,27708,chr3,10994
chrUn_GL344696	chr2,22105,chr1,7261
chrUn_GL344697	chr17,33776
chrUn_GL344690	chrUn_random,8489
chrUn_GL344691	chr19,45826,chr15,6619,chr5,6199
chrUn_GL344692	chr11,48173
chrUn_GL344693	chr28,31782
chrUn_AAWZ02039528	chr2,12853
chrUn_AAWZ02036218	chr17,114747
chrUn_GL344252	chr21,28012
chrUn_AAWZ02037560	chr2,23367
chrUn_GL344456	chr7,20043
chrUn_GL343337	chr1,1966772
chrUn_GL344106	chr9,47463,chr10,22237
chrUn_GL343335	chrZ,1832264,chrUn_random,91037,chr20_random,5408
chrUn_GL344452	chr16,46633,chr15,30921,chrUn_random,5648,chrE22C19W28_E50C23_random,3748
chrUn_GL343333	chr3,1636253,chr1,71980,chrUn_random,9048
chrUn_GL343330	chr10,1813375,chr18,164156,chrUn_random,113880,chrE22C19W28_E50C23_random,24771,chr3,9635,chr14,9184
chrUn_GL344451	chrUn_random,62587
chrUn_AAWZ02040164	chr6,47270
chrUn_AAWZ02040166	chrZ,31283
chrUn_GL344108	chr19,339324
chrUn_GL344109	chr1,135727,chr4,3272
chrUn_GL343338	chr15,5003611
chrUn_GL343339	chrZ,1173954,chr2,5851,chr1,4171
chrUn_AAWZ02039647	chr19,15654
chrUn_AAWZ02040448	chr1,29199
chrUn_AAWZ02036988	chr24,49001
chrUn_AAWZ02041786	chr3,23555
chrUn_AAWZ02037108	chr11,79992
chrUn_AAWZ02037456	chr28,9156
chrUn_AAWZ02036980	chr2,8278
chrUn_AAWZ02037106	chr17,56801
chrUn_AAWZ02036986	chr7,33798
chrUn_AAWZ02036987	chr10,40066
chrUn_AAWZ02036985	chr2,21463
chrUn_AAWZ02040011	chr1,39879
chrUn_AAWZ02040584	chr19,31402
chrUn_AAWZ02040013	chr25,21734,chr4,4253,chr10,2991
chrUn_AAWZ02040012	chr9,17436
chrUn_AAWZ02040015	chr6,92830
